disease,symptoms,cures,doctor,risk_level,description
aflatoxicosis,"['diarrhea', 'vomiting', 'death', 'liver damage', 'jaundice']","there is no cure for aflatoxicosis,but treatment may include supportive care,liver transplantation",gastroenterologist,high (70%),
alcoholism,"['cancer', 'tolerance to alcohol', 'withdrawal symptoms', 'heart disease', 'impaired judgment', 'liver damage', 'memory problems', 'physical dependence on alcohol']"," treatment for alcoholism may include counseling,medication,support groups"," psychiatrist,addiction specialist",high (25%),
allergic rhinitis,"['itchy nose', 'itchy eyes', 'sneezing', 'throat', 'runny nose', 'palate']","over-the-counter medications,allergy shots",allergist,low (0.1%),
anemia,"['heme positive', 'guaiac positive', 'tumor cell invasion', 'lightheadedness', 'hyponatremia', 'pain', 'rhonchus', 'fatigue', 'dizziness', 'ecchymosis', 'monoclonal', 'haemorrhage', 'orthostasis', 'arthralgia', 'pallor', 'swelling', 'pale skin', 'asthenia', 'shortness of breath', 'chill', 'transaminitis', 'pain back']","treatment for anemidepends on the type of anemia,but may include medication,blood transfusions,surgery",hematologist,varies depending on the type of anemia,
anxiety disorder,"['anxiety that interfere with daily life', 'fear', 'excessive worry']","treatment for anxiety disorders may include therapy,medication,combination of both","psychologist,psychiatrist",varies depending on the type of anxiety disorder,
appendicitis,"['pain in the lower right abdomen', 'fever', 'nausea', 'vomiting']",appendectomy,surgeon ,high (20%),
asperger syndrome,"['restricted interests', 'difficulty with social interaction', 'repetitive behaviors']","there is no cure for asperger syndrome,but there are treatments that can help manage the symptoms","psychologist,psychiatrist",varies,
asthma,"['cough', 'non-productive cough', 'chest tightness', 'symptom aggravating factors', 'productive cough', 'shortness of breath', 'coughing', 'wheezing', 'pleuritic pain', 'distress respiratory']","treatment for asthmmay include medication,lifestyle changes,allergy shots"," allergist,pulmonologist",varies,
bacterial meningitis,"['vomiting', 'stiff neck', 'sensitivity to light', 'fever', 'headache', 'nausea']",antibiotics,"neurologist,neurosurgeon",high (20%),
bipolar disorder,"['extreme mood swings', 'disturbed family', 'motor retardation', 'tremor', 'hallucinations visual', 'sleeplessness', 'feeling hopeless', 'catatonia', 'behavior hyperactive', 'weepiness', 'difficulty', 'has religious belief', 'energy increased', 'agitation', 'verbal auditory hallucinations', 'hyperhidrosis disorder', 'suicidal', 'mydriasis', 'irritable mood', 'blackout', 'hypersomnia', 'from manito depression', 'homelessness', 'extrapyramidal sign', 'loose associations', 'exhaustion', 'feeling suicidal', 'hallucinations auditory', 'intoxication', 'worry']","treatment for bipolar disorder may include medication,therapy,combination of both","psychologist,psychiatrist",varies,
bladder cancer,"['blood in the urine', 'frequent urination', 'urgency to urinate', 'pain or burning when urinating', 'incontinence']","surgery,chemotherapy,radiation therapy",urologist,high (70%),
blood clot,"['difficulty breathing', 'coughing up blood', 'tenderness in the affected area', 'swelling', 'chest pain', 'pain', 'warmth', 'shortness of breath', 'redness']","treatment for blood clot may include medication,surgery,combination of both","cardiologist,hematologist",high (20%),
bursitis,"['inflammation in bursa', 'pain', 'swelling', 'which is small sac of fluid that cushions joints']","medication,rest,ice,compression,elevation","family doctor,orthopedist",varies depending on the bursa,
cervical cancer,"['abnormal pap test results', 'abnormal vaginal bleeding', 'pain during sex']","surgery,chemotherapy,radiation therapy",gynecologist ,high (70%),
chickenpox,"['muscle aches', 'rash', 'fever', 'fatigue', 'headache']","antiviral medication,over-the-counter medications,rest,fluids","family doctor,urgent care",low (0.1%),
chronic obstructive pulmonary disease (copd),"['chronic bronchitis', 'emphysema']","treatment for copd may include medication,lifestyle changes,oxygen therapy",pulmonologist,varies depending on the type of copd ,
cholesterol,['high levels of cholesterol in the blood'],"diet,exercise,medication",cardiologist,varies depending on the level of cholesterol,
common cold,"['malaise', 'cough', 'chest pain', 'fatigue', 'sinus pressure', 'swelled lymph nodes', 'redness of eyes', 'muscle pain', 'loss of smell', 'sneezing', 'sore throat', 'congestion', 'throat irritation', 'runny nose', 'headache', 'high fever', 'chills', 'phlegm', 'continuous sneezing']","over-the-counter medications,rest,fluids","family doctor,urgent care",low (0.1%),"The common cold is a viral infection of your nose and throat (upper respiratory tract). It's usually harmless, although it might not feel that way. Many types of viruses can cause a common cold."
conjunctivitis,"['itchy', 'red', 'watery eyes']","over-the-counter medications,warm compresses","family doctor,ophthalmologist",low (0.1%),
depression,"['energy levels', 'changes in appetite', 'sleep', 'loss of interest in activities', 'sadness', 'hopelessness']","treatment for depression may include medication,therapy,combination of both","psychologist,psychiatrist",varies,
diarrhea,"['watery stools', 'loose']","over-the-counter medications,rest,fluids","family doctor,urgent care",low (0.1%),
eating disorder,['disturbance in eating behavior that can lead to serious health problems'],"treatment for eating disorders may include therapy,medication,support groups","psychologist,psychiatrist",varies depending on the type of eating disorder,
epilepsy,"['wheelchair bound', 'tremor', 'muscle twitch', 'hypometabolism', 'drowsiness', 'myoclonus', 'seizure', 'lethargy', 'gurgle', 'sleepy', 'hemiplegia', 'unresponsiveness', 'aura', 'seizures']","medication,surgery",neurologist,varies,
fever,['elevated body temperature'],"over-the-counter medications,rest,fluids","family doctor,urgent care",low (0.1%),
food poisoning,"['diarrhea', 'abdominal cramps', 'nausea', 'vomiting']","over-the-counter medications,rest,fluids","family doctor,urgent care",low (0.1%),
gallstones,"['fever', 'pain in the upper right abdomen', 'nausea', 'vomiting']",surgery,surgeon ,high (20%),
gonorrhea,"['sexually transmitted infection that can cause burning during urination', 'pain in the lower abdomen', 'discharge from the penis or vagina']",antibiotics,"urologist,gynecologist",high (70%),
heart disease,"['chest pain', 'shortness of breath', 'fatigue', 'dizziness', 'fainting']","treatment for heart disease may include medication,lifestyle changes,surgery",cardiologist,high (20%),
hepatitis,"['spontaneous rupture of membranes', 'vomiting', 'projectile vomiting', 'tachypnea', 'distress respiratory', 'fever', 'chill', 'pruritus', 'transaminitis', 'ascites', 'anorexia', 'inflammation of the liver', 'pain abdominal']","treatment for hepatitis may include medication,rest,lifestyle changes",gastroenterologist,varies depending on the type of hepatitis,
herpes,"['sexually transmitted infection that can cause blisters on the genitals', 'other parts of the body', 'mouth']","there is no cure for herpes,but there are treatments that can help manage the symptoms","urologist,gynecologist",high (70%),
influenza,"['malaise', 'cough', 'uncoordination', 'snuffle', 'fatigue', 'dysuria', 'runny or stuffy nose', 'snore', 'pleuritic pain', 'muscle aches', 'nasal flaring', 'blackout', 'sneeze', 'throat sore', 'scleral\xa0icterus', 'fever', 'sore throat', 'symptom aggravating factors', 'chill', 'shortness of breath', 'lip smacking', 'headache', 'debilitation', 'green sputum', 'extreme exhaustion', 'distress respiratory']","over-the-counter medications,rest,fluids","family doctor,urgent care",low (0.1%),
irritable bowel syndrome (ibs),"['diarrhea', 'bloating', 'constipation', 'abdominal pain']","treatment for ibs may include diet,lifestyle changes,medication"," family doctor,gastroenterologist",varies,
kidney stones,"['blood in the urine', 'pain in the lower back or side', 'nausea', 'vomiting']",surgery,urologist,high (20%),
lung cancer,"['blood in the sputum', 'unexplained weight loss', 'chest pain', 'cough that does not go away', 'shortness of breath', 'fatigue']","surgery,chemotherapy,radiation therapy",oncologist,high (70%),
malaria,"['diarrhea', 'muscle aches', 'vomiting', 'high fever', 'fever', 'diarrhoea', 'fatigue', 'headache', 'nausea', 'sweating', 'chills', 'muscle pain']",antimalarial drugs,"family doctor,urgent care",high (20%),An infectious disease caused by protozoan parasites from the Plasmodium family that can be transmitted by the bite of the Anopheles mosquito or by a contaminated needle or transfusion. Falciparum malaria is the most deadly type.
measles,"['cough', 'red eyes', 'rash', 'fever', 'sore throat', 'runny nose']",measles vaccine,"family doctor,urgent care",high (70%),
meningitis,"['vomiting', 'stiff neck', 'sensitivity to light', 'fever', 'headache', 'nausea']",antibiotics,"neurologist,neurosurgeon",high (20%),
mononucleosis,"['rash', 'fever', 'sore throat', 'fatigue', 'swollen lymph nodes']","there is no cure for mononucleosis,but symptoms can be treated with rest,fluids,over-the-counter medications","family doctor,urgent care",low (0.1%),
rabies,"['muscle aches', 'tingling at the bite site', 'aerophobia', 'fever', 'headache', 'hydrophobia', 'difficulty swallowing']",rabies vaccine,"doctor,urgent care",high (70%),
salmonella,"['diarrhea', 'vomiting', 'fever', 'nausea', 'abdominal cramps']",antibiotics,"family doctor,urgent care ",low (0.1%),
shingles,['painful rash that follows nerve path'],antiviral medication,"family doctor,dermatologist ",low (0.1%),
tuberculosis (tb),"['night sweats', 'chest pain', 'cough that does not go away', 'fever', 'fatigue', 'weight loss']",antibiotics,"family doctor,pulmonologist",high (20%),
urinary tract infection (uti),"['blood in the urine', 'frequent urination', 'burning', 'urgency to urinate', 'painful urination']",antibiotics,urologist,low (0.1%),
varicose veins,"['swollen legs', 'cramps', 'twisted veins', 'swollen', 'usually in the legs', 'prominent veins on calf', 'obesity', 'swollen blood vessels', 'fatigue', 'bruising']","surgery,compression stockings,lifestyle changes",vascular surgeon,varies,"A vein that has enlarged and twisted, often appearing as a bulging, blue blood vessel that is clearly visible through the skin. Varicose veins are most common in older adults, particularly women, and occur especially on the legs."
warts,"['raised', 'rough growths on the skin']","over-the-counter medications,prescription medications,cryotherapy,laser therapy", dermatologist,low (0.1%),
yeast infection,"['itching', 'discharge from the vaginor penis', 'burning']","over-the-counter medications,prescription medications","urologist,gynecologist",low (0.1%),
acanthamoebkeratitis,"['pain', 'inflammation in the eye', 'redness']","antibiotics,antifungals,surgery",ophthalmologist ,low (0.1%,
acute appendicitis,"['pain in the lower right abdomen', 'fever', 'nausea', 'vomiting']",appendectomy,surgeon,high (20%),
acute kidney injury (aki),['decreased kidney function'],"treatment for the underlying cause,such as dehydration,infection,medication side effect ",nephrologist ,varies,
aortic aneurysm,"['bulge in the wall of the aorta', 'the largest artery in the body']",surgery,vascular surgeon,high (20%),
colorectal cancer,"['blood in the stool', 'change in bowel habits', 'abdominal pain', 'constipation', 'such as diarrhea', 'unexplained weight loss', 'narrowing of the stool']","surgery,chemotherapy,radiation therapy",gastroenterologist,high (70%),
dementia,"['unsteady gait', 'cough', 'lethargy', 'pain', 'fall', 'rhonchus', 'unresponsiveness', 'ecchymosis', 'rale', 'agitation', 'changes in personality or behavior', 'abdominal tenderness', 'bedridden', 'syncope', 'facial paresis', 'fever', 'unconscious state', 'difficulty thinking', 'hallucinations auditory', 'memory loss', 'confusion']","there is no cure for dementia,but there are treatments that can help manage the symptoms",neurologist ,varies,
erectile dysfunction,"['difficulty getting', 'keeping an erection']","medication,lifestyle changes,surgery ",urologist,varies,
fibromyalgi,"['widespread pain', 'tenderness', 'fatigue']","medication,lifestyle changes ",rheumatologist ,varies,
glaucoma,"['agitation', 'unsteady gait', 'distended abdomen', 'paresthesia', 'hyponatremia', 'lead to vision loss', 'burning sensation', 'fall', 'unconscious state', 'mass of body structure', 'lesion', 'increased pressure in the eye that can damage the optic nerve']","medication,surgery ", ophthalmologist,varies,
heart failure,['condition in which the heart cannot pump blood as well as it should'],"medication,lifestyle changes,surgery",cardiologist,high (20%),
kidney disease,"['hyperkalemia', 'fever', 'pain chest', 'shortness of breath', 'gravida 0', 'bleeding of vagina', 'damage to the kidneys that can lead to kidney failure']","treatment for the underlying cause,such as high blood pressure,diabetes,an infection",nephrologist,varies,
lung disease,"['condition that affects the lungs', 'can make it difficult to breathe']","treatment for the underlying cause,such as asthma,chronic obstructive pulmonary disease (copd),pneumonia",pulmonologist,varies,
parkinson's disease,"['coordination', 'tremors', 'stiffness', 'difficulty with balance', 'slow movement']"," medication,lifestyle changes",neurologist ,varies,
peptic ulcer disease,"['vomiting', 'pain in the upper abdomen', 'nausea', 'indigestion']","medication,lifestyle changes,surgery ",gastroenterologist,varies,
peripheral artery disease,"['numbness', 'pain', 'tingling in the arms or legs']","medication,lifestyle changes,surgery",vascular surgeon,varies,
prostate cancer,"['difficulty urinating', 'blood in the urine', 'pain in the back or hips', 'erectile dysfunction']"," surgery,radiation therapy,hormone therapy",urologist,high (70%),
rheumatoid arthritis,"['pain', 'swelling', 'stiffness in the joints']","medication,lifestyle changes",rheumatologist,varies,
stomach cancer,"['vomiting', 'indigestion', 'nausea', 'pain in the upper abdomen', 'weight loss']","surgery,chemotherapy,radiation therapy",gastroenterologist ,high (70%),
thyroid cancer,"['lump in the neck', 'unexplained heat intolerance', 'fatigue', 'hoarseness', 'weight loss', 'sensitivity to cold']","surgery,radiation therapy,hormone therapy",endocrinologist,high (70%),
ulcerative colitis,"['diarrhea', 'bloody stool', 'weight loss', 'abdominal pain']","medication,surgery",gastroenterologist ,varies,
atopic dermatitis,"['itchy', 'red', 'inflamed skin']","medication,lifestyle changes", dermatologist,varies,
celiac disease,"['diarrhea', 'abdominal pain', 'bloating', 'fatigue', 'weight loss']",gluten-free diet,gastroenterologist,varies,
chronic kidney disease,"['changes in urination', 'swelling', 'shortness of breath', 'fatigue', 'high blood pressure']","treatment for the underlying cause,such as high blood pressure,diabetes,an infection",nephrologist,varies,
crohn's disease,"['diarrhea', 'bloody stool', 'weight loss', 'abdominal pain']","medication,surgery",gastroenterologist,varies,
fibromyalgia,"['widespread pain', 'tenderness', 'fatigue']","medication,lifestyle changes",rheumatologist,varies,
graves' disease,"['hyperthyroidism', 'which is an overactive thyroid']","medication,surgery",endocrinologist,varies,
hashimoto's thyroiditis,"['hypothyroidism', 'which is an underactive thyroid']",medication,endocrinologist,varies,
lupus,['chronic autoimmune disease that can affect any part of the body'],"medication,lifestyle changes",rheumatologist ,varies,
pneumocystis carinii pneumonia,"['myalgia', 'diarrhea', 'poor dentition', 'yellow sputum', 'hypokalemia', 'decreased body weight', 'floppy', 'cachexia', 'spontaneous rupture of membranes', 'chill', 'dyspnea on exertion', 'transaminitis', 'dyspareunia', 'headache', 'hacking cough', 'non-productive cough', 'productive cough', 'neck stiffness']",,,,
accident cerebrovascular,"['dysarthria', 'numbness', 'speech slurred', 'facial paresis', 'asthenia', 'hemiplegia', 'unresponsiveness', 'seizure']",,,,
adenocarcinoma,"['scar tissue', 'decreased body weight', 'hematochezia', 'constipation', 'fremitus', 'satiety early', 'pain', 'mass of body structure', 'egophony', 'lesion', 'decreased stool caliber', 'pain abdominal']",,,,
adhesion,"['unsteady gait', 'vomiting', 'para 1', 'decreased body weight', 'hallucinations visual', 'breech presentation', 'lung nodule', 'feeling suicidal', 'pain', 'immobile', 'shortness of breath', 'flatulence', 'large-for-dates fetus']",,,,
affect labile,"['patient non compliance', 'prostatism', 'bedridden', 'enuresis', 'hallucinations visual', 'sleeplessness', 'feeling hopeless', 'extreme exhaustion']",,,,
anxiety state,"['patient non compliance', 'tremor', 'pain chest', 'pain', 'difficulty', 'has religious belief', 'agitation', 'nightmare', 'nervousness', 'mood depressed', 'hallucinations auditory', 'hallucinations visual', 'sleeplessness', 'palpitation', 'feeling hopeless', 'consciousness clear', 'weepiness', 'hot flush', 'suicidal', 'irritable mood', 'blackout', 'formication', 'feeling suicidal', 'worry']",,,,
aphasia,"['charleyhorse', 'muscle twitch', 'clonus', 'facial paresis', 'egophony', 'paralyse', 'aphagia', 'low back pain']",,,,
bacteremia,"['diarrhea', 'prostatism', 'distended abdomen', 'indifferent mood', 'vomiting', 'pallor', 'fever', 'urinoma', 'chill', 'hypoalbuminemia', 'decreased translucency', 'abdominal tenderness', 'unresponsiveness', 'pustule', 'flushing', 'pleuritic pain']",,,,
benign prostatic hypertrophy,"['orthopnea', 'dysarthria', 'orthostasis', 'cachexia', 'blackout', 'mental status changes', 'night sweat', 'anorexia', 'distress respiratory']",,,,
biliary calculus,"['diarrhea', 'thicken', 'vomiting', 'palpitation', 'cushingoid\xa0habitus', 'apyrexial', 'pain', 'sore to touch', 'ascites', 'nausea', 'pain abdominal']",,,,
carcinoma,"['tumor cell invasion', 'pain', 'sore to touch', 'mass of body structure', 'unhappy', 'diarrhea', 'thicken', 'heartburn', 'decreased body weight', 'metastatic lesion', 'lung nodule', 'gravida 0', 'lesion', 'non-productive cough', 'general discomfort', 'hoarseness', 'nausea', 'paresthesia', 'constipation']",,,,
carcinoma breast,"['erythema', 'dyspnea', 'estrogen use', 'paresthesia', 'mass in breast', 'swelling', 'burning sensation', 'formication', 'mass of body structure', 'retropulsion', 'lesion', 'difficulty']",,,,
carcinoma colon,"['diarrhea', 'prostatism', 'systolic ejection murmur', 'dizzy spells', 'vomiting', 'bradycardia', 'constipation', 'polydypsia', 'urinary hesitation', 'shooting pain', 'general discomfort', 'lesion', 'hyperemesis', 'nausea', 'pain abdominal']",,,,
carcinoma of lung,"['agitation', 'haemoptysis', 'cough', 'irritable mood', 'ache', 'metastatic lesion', 'lung nodule', 'gurgle', 'asthenia', 'shortness of breath', 'night sweat', 'lesion', 'decreased translucency', 'debilitation', 'rale']",,,,
carcinoma prostate,"['guaiac positive', 'qt interval prolonged', 'tumor cell invasion', 'mass of body structure', 'rhonchus', 'hemodynamically stable', 'dysuria', 'pleuritic pain', 'dysesthesia', 'diarrhea', 'decreased body weight', 'paresis', 'hemianopsia homonymous', 'asthenia', 'polymyalgia', 'urge incontinence', 'hematuria', 'breath sounds decreased', 'ataxia', 'rale', 'passed stones', 'orthostasis', 'vertigo']",,,,
cardiomyopathy,"['patient non compliance', 'orthopnea', 'hypokinesia', 'yellow sputum', 'dyspnea', 'palpitation', 'syncope', 'pain chest', 'left\xa0atrial\xa0hypertrophy', 'weight gain', 'shortness of breath', 'dyspnea on exertion', 'fatigue', 'jugular venous distention', 'rale']",,,,
cellulitis,"['patient non compliance', 'erythema', 'scratch marks', 'swelling', 'pain chest', 'pain', 'fever', 'sore to touch', 'chill', 'abscess bacterial', 'hyperacusis', 'redness', 'pruritus', 'hypesthesia']",,,,
cholecystitis,"['diarrhea', ""murphy's sign"", 'abnormally hard consistency', 'qt interval prolonged', 'groggy', 'sinus rhythm', 'constipation', 'pain', 'moan', 'feces in rectum', 'flatulence', 'cardiovascular event', 'gasping for breath', 'colic abdominal', 'ascites', 'nausea', 'pain abdominal']",,,,
chronic alcoholic intoxication,"['neologism', 'suicidal', 'tremor', 'irritable mood', 'sleeplessness', 'feeling hopeless', 'feeling suicidal', 'hoard', 'breath sounds decreased', 'unconscious state', 'shortness of breath', 'hallucinations auditory', 'panic', 'seizure', 'homelessness']",,,,
chronic kidney failure,"['guaiac positive', 'yellow sputum', 'vomiting', 'pleuritic pain', 'jugular venous distention', 'diarrhea', 'swelling', 'oliguria', 'mental status changes', 'apyrexial', 'asthenia', 'shortness of breath', 'chill', 'orthopnea', 'malaise', 'hyperkalemia', 'catatonia', 'unresponsiveness', 'nausea', 'rale', 'chest tightness', 'fever']",,,,
chronic obstructive airway disease,"['hypercapnia', 'patient non compliance', 'dyspnea', 'cough', 'hypoxemia', 'chest tightness', 'shortness of breath', 'sputum purulent', 'wheezing', 'distress respiratory']",,,,
cirrhosis,"['guaiac positive', 'distended abdomen', 'tumor cell invasion', 'fall', 'sore to touch', 'bleeding of vagina', 'pruritus', 'splenomegaly', 'lesion', 'hemodynamically stable', 'ascites', 'pain abdominal']",,,,
colitis,"['thicken', 'urge incontinence', 'nausea and vomiting', 'vomiting', 'fever', 'pain', 'tenesmus', 'chill', 'hemodynamically stable', 'green sputum', 'awakening early', 'nausea', 'pain abdominal']",,,,
confusion,"['tremor', 'hyponatremia', 'lethargy', 'fall', 'sleepy', 'seizure', 'agitation', 'enuresis', 'mental status changes', 'asthenia', 'headache', 'asterixis', 'muscle twitch', 'speech slurred', 'lightheadedness', 'consciousness clear', 'dizziness', 'unresponsiveness', 'dysarthria', 'unconscious state']",,,,
coronary heart disease,"['orthopnea', 'hypokinesia', 'angina pectoris', 'pain chest', 'chest tightness', 'sweating increased', 'shortness of breath', 'dyspnea on exertion', 'pressure chest']",,,,
decubitus ulcer,"['frail', 'systolic murmur', 'fever']",,,,
deep vein thrombosis,"['erythema', 'swelling', 'clonus', 'cardiomegaly', 'pain', 'pain in lower limb', 'hypotension', 'shortness of breath', 'redness', 'ecchymosis', 'non-productive cough', 'rale']",,,,
degenerative polyarthritis,"['unsteady gait', 'numbness of hand', 'nonsmoker', 'drowsiness', 'food intolerance', 'pain', 'asthenia', 'polydypsia', 'stiffness', 'general discomfort', 'non-productive cough']",,,,
deglutition disorder,"['dysarthria', 'stridor', 'achalasia', 'titubation', 'paresthesia', 'painful swallowing', 'spasm', 'decreased body weight', 'dysdiadochokinesia', 'asthenia', 'stiffness', 'lesion', 'hoarseness', 'side pain', 'ataxia']",,,,
dehydration,"['diarrhea', 'sensory discomfort', 'vomiting', 'history of - blackout', 'lightheadedness', 'syncope', 'mental status changes', 'lethargy', 'fever', 'asthenia', 'hypotension', 'dizziness', 'unwell', 'anorexia', 'nausea']",,,,
delirium,"['diarrhea', 'hallucinations auditory', 'unsteady gait', 'suicidal', 'hyponatremia', 'feeling suicidal', 'worry', 'sleepy', 'fever', 'unresponsiveness', 'withdraw', 'verbally abusive behavior']",,,,
delusion,"['neologism', 'disturbed family', 'giddy mood', 'agitation', 'decompensation', 'worry', 'hallucinations auditory', 'sleeplessness', 'feeling hopeless', 'catatonia', 'weepiness', 'terrify', 'impaired cognition', 'suicidal', 'irritable mood', 'blackout', 'loose associations', 'verbally abusive behavior', 'homicidal thoughts']",,,,
dependence,"['agitation', 'prostatism', 'suicidal', 'heavy legs', 'tremor', 'muscle twitch', 'stuffy nose', 'feeling hopeless', 'homelessness', 'lethargy', 'seizure', 'intoxication', 'rale']",,,,
depressive disorder,"['motor retardation', 'tremor', 'difficulty', 'agitation', 'energy increased', 'verbal auditory hallucinations', 'nightmare', 'mood depressed', 'hallucinations auditory', 'intoxication', 'homelessness', 'hallucinations visual', 'sleeplessness', 'feeling hopeless', 'unable to concentrate', 'weepiness', 'suicidal', 'irritable mood', 'blackout', 'feeling suicidal', 'worry']",,,,
diverticulitis,"['unsteady gait', 'vomiting', 'pain', 'sore to touch', 'dysuria', 'monoclonal', 'pain abdominal', 'diarrhea', 'thicken', 'dullness', 'apyrexial', 'urgency of\xa0micturition', 'abscess bacterial', 'colic abdominal', 'sinus rhythm', 'constipation', 'fever', 'red blotches', 'abdominal tenderness', 'anorexia']",,,,
diverticulosis,"['heme positive', 'diarrhea', 'haemorrhage', 'cystic lesion', 'lightheadedness', 'projectile vomiting', 'pneumatouria', 'constipation', 'feeling hopeless', 'feeling suicidal', 'fecaluria', 'pain', 'abscess bacterial', 'anorexia', 'nausea']",,,,
edema pulmonary,"['patient non compliance', 'orthopnea', 'dyspnea', 'sinus rhythm', 'chest discomfort', 'tachypnea', 'urgency of\xa0micturition', 'hyperkalemia', 'sweating increased', 'shortness of breath', 'pain chest', 'hypotension', 'wheezing', ""heberden's node"", 'jugular venous distention', 'rale']",,,,
embolism pulmonary,"['yellow sputum', 'dyspnea', 'non-productive cough', 'cicatrisation', 'apyrexial', 'hypoxemia', 'pain chest', 'tachypnea', 'distress respiratory', 'shortness of breath', 'unresponsiveness', 'hematocrit decreased', 'wheezing', 'pleuritic pain', 'productive cough', 'neck stiffness']",,,,
emphysema pulmonary,"['myalgia', 'hypercapnia', 'room spinning', 'night sweat', 'has religious belief', 'scar tissue', 'dyspnea', 'arthralgia', 'cachexia', 'choke', 'dyspnea on exertion', 'flushing', 'clammy skin', 'painful swallowing', 'moan', 'rale', 'behavior showing increased motor activity', 'coordination abnormal', 'constipation', 'symptom aggravating factors', 'tenesmus']",,,,
encephalopathy,"['tonic seizures', 'haemorrhage', 'asterixis', 'posturing', 'thicken', 'hypokinesia', 'debilitation', 'absences finding', 'uncoordination', 'sleepy', 'consciousness clear', 'unresponsiveness', 'aura']",,,,
endocarditis,"['myalgia', 'flare', 'thicken', 'orthopnea', 'hypokinesia', 'cough', 'decreased body weight', 'apyrexial', 'metastatic lesion', 'pulsus\xa0paradoxus', 'breath sounds decreased', 'hypotension', 'shortness of breath', 'night sweat', 'abscess bacterial', 'pleuritic pain']",,,,
exanthema,"['erythema', 'scratch marks', 'arthralgia', 'painful swallowing', 'swelling', 'apyrexial', 'fever', 'macule', 'pain', 'chill', 'pruritus', 'lesion', 'redness', 'headache', 'photophobia']",,,,
